dt_zop_rok;kraj_id;quest_class;hermin_class;fin_vyuct_eu;fin_vyuct_narodni_verejne;fin_vyuct_verejne
2009;CZ052;AIS;AIS2;44537635,0000000;6143116,0000000000;50680751,0000000000
2009;CZ052;AIS;AIS3;163909302,2600000;40123305,5199999958;204032607,7800000012
2009;CZ052;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2009;CZ052;AIS;AIS5;143551071,3300000;161865032,8837605417;305416104,2137605548
2009;CZ052;HC;HC;186056579,5409550;33851471,2325510010;219908050,7735059857
2009;CZ052;INFR;INFR;1616485268,9550002;883076765,1447628736;2499562034,0997629166
2009;CZ052;RTD;RTD;115495545,6000000;14385455,5000000000;129881001,0999999940
2009;CZ052;TA;TA;538385474,2326870;110475273,0781373531;648860747,3108242750
2009;CZ053;AIS;AIS1;0,0000000;0,0000000000;0,0000000000
2009;CZ053;AIS;AIS2;49907239,0000000;12597314,0000000000;62504553,0000000000
2009;CZ053;AIS;AIS3;45998858,7100000;29149305,0099999979;75148163,7199999988
2009;CZ053;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2009;CZ053;AIS;AIS5;29055572,9600000;14772721,5404271986;43828294,5004272014
2009;CZ053;HC;HC;145617483,9338170;26336556,1517260000;171954040,0855430067
2009;CZ053;INFR;INFR;2085097201,4004240;464578281,5999532938;2549675483,0003771782
2009;CZ053;RTD;RTD;87032497,3000000;12649648,0000000000;99682145,2999999970
2009;CZ053;TA;TA;178738296,5086490;51198233,9614185095;229936530,4700675011
2009;CZ063;AIS;AIS1;0,0000000;0,0000000000;0,0000000000
2009;CZ063;AIS;AIS2;77744368,0900000;20014730,3999999985;97759098,4899999946
2009;CZ063;AIS;AIS3;12160081,5000000;1124853,5000000000;13284935,0000000000
2009;CZ063;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2009;CZ063;AIS;AIS5;51972855,7900000;12225150,6899999995;64198006,4800000042
2009;CZ063;HC;HC;178661440,1913837;40293027,8071046695;218954467,9984883368
2009;CZ063;INFR;INFR;1798128802,9766667;418060576,9166666865;2216189379,8933334351
2009;CZ063;RTD;RTD;41867397,8000000;5129660,5000000000;46997058,2999999970
2009;CZ063;TA;TA;274316690,1579167;189226586,6205066741;463543276,7784233093
2009;CZ064;AIS;AIS1;0,0000000;0,0000000000;0,0000000000
2009;CZ064;AIS;AIS2;122657882,2800000;29927768,6000000015;152585650,8799999952
2009;CZ064;AIS;AIS3;16175500,0000000;1725975,0000000000;17901475,0000000000
2009;CZ064;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
